Rental Id,Duration,Bike Id,End Date,EndStation Id,EndStation Name,Start Date,StartStation Id,StartStation Name,,
53351731,540,11140,01/05/2016 00:13,202,"Leman Street, Aldgate",01/05/2016 00:04,321,"Bermondsey Street, Bermondsey",,
,,,,,,,,,,
,,,,,,,,,,
Rental Id,Duration,Bike Id,End Date,EndStation Id,EndStation Name,Start Date,StartStation Id,StartStation Name,,
53959344,900,8483,18/05/2016 00:15,134,"Wapping High Street, Wapping",18/05/2016 00:00,309,"Embankment (Savoy), Strand",,
53959345,1680,348,18/05/2016 00:28,692,"Cadogan Close, Victoria Park",18/05/2016 00:00,309,"Embankment (Savoy), Strand",,
53959342,420,8277,18/05/2016 00:07,38,"Abingdon Villas, Kensington",18/05/2016 00:00,527,"Hansard Mews, Holland Park",,
53959340,600,12554,18/05/2016 00:10,447,"Jubilee Crescent, Cubitt Town",18/05/2016 00:00,532,"Jubilee Plaza, Canary Wharf",,
53959348,,7239,,,,18/05/2016 00:01,386,"Moor Street, Soho",,
53959346,300,3356,18/05/2016 00:06,715,"Aylward Street, Stepney",18/05/2016 00:01,200,"LMU Commercial Road, Whitechapel",,
53959356,1320,2893,18/05/2016 00:24,105,"Westbourne Grove, Bayswater",18/05/2016 00:02,356,"South Kensington Station, South Kensington",,
53959357,420,5546,18/05/2016 00:09,219,"Bramham Gardens, Earl's Court",18/05/2016 00:02,97,"Gloucester Road (North), Kensington",,
53959352,1260,6108,18/05/2016 00:23,595,"Hammersmith Road, Hammersmith",18/05/2016 00:02,222,"Knightsbridge, Hyde Park",,
53959349,12540,245,18/05/2016 03:31,272,"Baylis Road, Waterloo",18/05/2016 00:02,246,"Berry Street, Clerkenwell",,
53959355,960,10525,18/05/2016 00:18,160,"Waterloo Place, St. James's",18/05/2016 00:02,273,"Belvedere Road, South Bank",,
53959354,180,9954,18/05/2016 00:05,469,"Lindfield Street, Poplar",18/05/2016 00:02,510,"Westferry DLR, Limehouse",,
53959353,720,11010,18/05/2016 00:14,449,"Shadwell Station, Shadwell",18/05/2016 00:02,39,"Shoreditch High Street, Shoreditch",,
53959358,660,4076,18/05/2016 00:13,99,"Old Quebec Street, Marylebone",18/05/2016 00:02,386,"Moor Street, Soho",,
53959350,960,4421,18/05/2016 00:18,160,"Waterloo Place, St. James's",18/05/2016 00:02,273,"Belvedere Road, South Bank",,
53959351,960,5312,18/05/2016 00:18,160,"Waterloo Place, St. James's",18/05/2016 00:02,273,"Belvedere Road, South Bank",,
53959363,960,8378,18/05/2016 00:19,711,"Everington Street, Fulham",18/05/2016 00:03,266,"Queen's Gate (North), Kensington",,
53959359,1200,12618,18/05/2016 00:23,595,"Hammersmith Road, Hammersmith",18/05/2016 00:03,222,"Knightsbridge, Hyde Park",,
53959362,,1766,,,,18/05/2016 00:03,97,"Gloucester Road (North), Kensington",,
53959360,900,5067,18/05/2016 00:18,160,"Waterloo Place, St. James's",18/05/2016 00:03,273,"Belvedere Road, South Bank",,
,,,,,,,,,,
,,,,,,,,,,
Rental Id,Duration,Bike Id,End Date,EndStation Logical Terminal,EndStation Name,endStationPriority_id,Start Date,StartStation Logical Terminal,StartStation Name,
57834109,720,9392,31/08/2016 00:12,200077,"Vicarage Crescent, Battersea",0,31/08/2016 00:00,200237,"Parson's Green , Parson's Green",
57834111,69840,12742,31/08/2016 19:24,2637,"Bermondsey Street, Bermondsey",0,31/08/2016 00:00,2637,"Bermondsey Street, Bermondsey",
57834110,30660,13499,31/08/2016 08:31,1200,"Ontario Street, Elephant & Castle",0,31/08/2016 00:00,2637,"Bermondsey Street, Bermondsey",
57834106,8280,123,31/08/2016 02:18,300200,"East Village, Queen Elizabeth Olympic Park",0,31/08/2016 00:00,1102,"Leman Street, Aldgate",
57834107,660,4714,31/08/2016 00:11,22175,"Canton Street, Poplar",0,31/08/2016 00:00,1105,"LMU Commercial Road, Whitechapel",
57834108,1140,10732,31/08/2016 00:19,300045,"Albert Bridge Road, Battersea Park",0,31/08/2016 00:00,300025,"Archbishop's Park, Waterloo",
57834113,300,2149,31/08/2016 00:05,22174,"Granby Street, Shoreditch",0,31/08/2016 00:00,200047,"Bethnal Green Garden, Bethnal Green",
57834122,1320,10177,31/08/2016 00:23,200017,"Lancaster Gate , Bayswater",0,31/08/2016 00:01,1041,"Westbourne Grove, Bayswater",
57834115,780,12968,31/08/2016 00:14,1173,"Gloucester Terrace, Bayswater",0,31/08/2016 00:01,1204,"Queen's Gate (North), Kensington",
57834114,69900,4510,31/08/2016 19:26,1189,"Long Lane , Bermondsey",0,31/08/2016 00:01,2637,"Bermondsey Street, Bermondsey",
57834118,1200,1806,31/08/2016 00:21,1140,"Grosvenor Road, Pimlico",0,31/08/2016 00:01,300032,"Victoria & Albert Museum, South Kensington",
57834112,240,6632,31/08/2016 00:05,22174,"Granby Street, Shoreditch",0,31/08/2016 00:01,200047,"Bethnal Green Garden, Bethnal Green",
57834130,420,5704,31/08/2016 00:09,300069,"Harcourt Terrace, West Brompton",0,31/08/2016 00:02,3447,"Gloucester Road (North), Kensington",
57834128,660,7552,31/08/2016 00:13,200184,"Erin Close, Walham Green",0,31/08/2016 00:02,300099,"Abyssinia Close, Clapham Junction",
